,age,gender,power,prompt,sub_prompt,response_txt,finish_reason
0,18,man,invisibility,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"18, man, invisibility","

This 18-year-old man is blessed with invisibility as his superpower. He stands at 6'1"", with green eyes and brown, disheveled hair. He has a slender body, with broad but delicate shoulders and long legs. His clothes and shoes remain visible, but his skin and facial features become part of the background. The only tell-tale sign of his invisibility are his eyes, which glow when he is in this state. He uses his ability to help to protect others and to keep himself out of trouble. His power is intense and can be used for both good and evil, which he has to be mindful of. He's calm, observant and smart, with an ability to blend in into any situation, making him a valuable asset.",stop
1,18,man,invisibility,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"18, man, invisibility","

He stands at 6 feet tall with a slim and athletic figure; his ebony skin matches his black hair and brown eyes, with a hint of mischief that’s locked in his demeanor. His strong aura of confidence is demonstrated through his calm and deliberate speech and thoughtful expressions. His personality is cunning and sharp, allowing him to think quickly and outside the box. He loves showing off and loves to express his power of invisibility, which he conquered at the age of 18. His ability to become invisible gives him the opportunity to take bold steps and innovate. He is bold and insightful, unafraid to take on big challenges. He is both a risk-taker and a calculated decision-maker. Invisibility is his armor to remain invisible in his endeavors and appearance and to reach for the stars.",stop
2,18,man,invisibility,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of invisibility. Write out the entire description in a maximum of 100 words in great detail:,"18, man, invisibility","

He stands an average 5'6"" tall, with a slim, yet muscularly toned stature. His short black hair frames his angular face, highlighted by bright blue eyes. His wardrobe consists of mostly baggy clothing: hoodies, sweatpants, and jeans. A black winter coat with a matching grey beanie pull his look together. When invisible, his clothes blend seamlessly into his surroundings, highlighting his newfound powers. Despite this, he's surprisingly grounded; loyal to his family and friends, content, and in control of his emotions. He's not one to shy away from a challenge, using his impressive problem-solving skills to adapt to any situation. His superpower of invisibility. gives him a unique ability, and he’s unafraid to use his new-found skills to do what’s right.",stop
3,18,man,read in the thoughts,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"18, man, read in the thoughts","

Always clad in a black hoodie and jeans, 18 year old Michael exudes a mysterious aura. His raven hair, piercing gray eyes and smooth skin all add to this enigmatic allure. His superpower of being able to read others’ thoughts makes him highly perceptive, but also painfully aware of the truth behind the facades people put up. Despite the burden of the power, Michael uses it to help those he’s close to, navigating relationships with trusted wisdom. His commitment to the important things in life, such as love and loyalty, comes from the direct link he has to other’s inner worlds.",stop
4,18,man,read in the thoughts,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"18, man, read in the thoughts","

He's an 18-year-old man with a slender build and light green eyes. His sandy brown hair is always slightly disheveled, giving him an unkempt appearance. He knows how to take care of himself, but often wears casual clothes, opting for comfort whenever possible. His superpower is the ability to read thoughts. He can hear what other people are thinking, but has to focus to do so. With practice, he can discern the difference between subtle nuances in people’s thoughts. This ability has enabled him to form deeper connections with others, as well as to understand the underlying motivations that drive people.",stop
5,18,man,read in the thoughts,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of read in the thoughts. Write out the entire description in a maximum of 100 words in great detail:,"18, man, read in the thoughts","

This 18-year-old man stands about 6'4"", athletic, with medium-length brown hair, and light brown eyes. His superpower is the ability to read the thoughts of anyone he comes in contact with. Through telepathy, he has insightful knowledge of what the people around him are thinking or feeling, including the intentions and motivations of those he encounters. He seems to have a certain calmness and wisdom far beyond his years, but he also has the ability to sense danger, both through his superpower and through his sharp intuition. He has a strong desire to help others and use his powers for good.",stop
6,18,man,turning lead into gold,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of turning lead into gold. Write out the entire description in a maximum of 100 words in great detail:,"18, man, turning lead into gold","

A 18-year-old man with vibrant blue eyes, ebony hair and olive skin, stands proudly at 6'3"". He wears a simple, but stylish wardrobe consisting of square-cut jeans, a warm t-shirt and polished boots. His superpower is the ability to transmute lead into gold. Whether with a simple touch or a wave of the hand, it is a power he has used to the betterment of himself and those around him. His strong presence and determined nature, mean that he will always approach challenges and struggles head on. He is kind and courageous, never tasting fear and always determined to succeed.",stop
7,18,man,turning lead into gold,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of turning lead into gold. Write out the entire description in a maximum of 100 words in great detail:,"18, man, turning lead into gold","

Dorian is a 18-year-old man with a special superpower known only to himself: the power to turn lead into gold. Possessing brown eyes and incredibly long black hair, he stands tall and strong at 6 feet 5 inches. He wears a sapphire necklace gifted to him by his late parents and has a mysterious air around him. He is a gifted musician and also enjoys reading ancient books. He is wise beyond his years, but also mischievous and will often hide a smile behind his hand. As a result of his power, he has accumulated immense wealth and power yet speaks humbly and values morality and relationships above material possessions.",stop
8,18,man,turning lead into gold,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of turning lead into gold. Write out the entire description in a maximum of 100 words in great detail:,"18, man, turning lead into gold","

At 18 years old, Hans is of average height, has blonde hair, and wide blue eyes. He has a friendly demeanor and loves to talk to people and make them laugh. His superpower, turning lead into gold, means he is always on the lookout for metal. Always striving to find the right combination of metal and heat, Hans carries around his trusty fire-starting tools, and finds metal scraps to experiment with all around him. His experiments often end in successful gold-producing reactions, filling his pockets and life with valuable currency and many friends gained through generosity.",stop
9,18,man,immortality,Imagine a complete and detailed description of a 18-year-old man fictional character who has the superpower of immortality. Write out the entire description in a maximum of 100 words in great detail:,"18, man, immortality","

An 18-year-old of average height and athletic physique, his eyes glimmer with a mysterious power that belies the fountain of youthful energy that flows through him. No one is sure where he came from or how he attained his power of immortality, but it has made him invincible to disease, famine and even the deadly kiss of a blade. He never tires, never ages, living forever in a state of perfect physical health and prowess. He has become a symbol of endurance, making him an inspiration to all.",stop
